Symbol,Name
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMGN,Amgen Inc. Common Stock
AME,AMETEK Inc.
AMD,Advanced Micro Devices Inc. Common Stock
AMCR,Amcor plc Ordinary Shares
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMAT,Applied Materials Inc. Common Stock
ALNY,Alnylam Pharmaceuticals Inc. Common Stock
ALLY,Ally Financial Inc. Common Stock
ALLE,Allegion plc Ordinary Shares
ALL,Allstate Corporation (The) Common Stock
ALGN,Align Technology Inc. Common Stock
ALC,Alcon Inc. Ordinary Shares
ALB,Albemarle Corporation Common Stock
AKAM,Akamai Technologies Inc. Common Stock
AJG,Arthur J. Gallagher & Co. Common Stock
AIG,American International Group Inc. New Common Stock
AGR,Avangrid Inc. Common Stock
AGL,agilon health inc. Common Stock
AFRM,Affirm Holdings Inc. Class A Common Stock
AFL,AFLAC Incorporated Common Stock
AFG,American Financial Group Inc. Common Stock
AES,The AES Corporation Common Stock
AER,AerCap Holdings N.V. Ordinary Shares
AEP,American Electric Power Company Inc. Common Stock
AEM,Agnico Eagle Mines Limited Common Stock
AEG,AEGON N.V. Common Stock
AEE,Ameren Corporation Common Stock
ADSK,Autodesk Inc. Common Stock
ADP,Automatic Data Processing Inc. Common Stock
ADM,Archer-Daniels-Midland Company Common Stock
ADI,Analog Devices Inc. Common Stock
ADBE,Adobe Inc. Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACM,AECOM Common Stock
ACI,Albertsons Companies Inc. Class A Common Stock
ACGL,Arch Capital Group Ltd. Common Stock
ABT,Abbott Laboratories Common Stock
ABNB,Airbnb Inc. Class A Common Stock
ABMD,ABIOMED Inc. Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABC,AmerisourceBergen Corporation Common Stock
ABBV,AbbVie Inc. Common Stock
ABB,ABB Ltd Common Stock
AAPL,Apple Inc. Common Stock
AAP,Advance Auto Parts Inc.
AAL,American Airlines Group Inc. Common Stock
AA,Alcoa Corporation Common Stock
A,Agilent Technologies Inc. Common Stock
